query,title,year,citations,journal,doi
Litopenaeus vannamei juvenile dietary protein requirement,"Effects of bioflocs on dietary protein requirement in juvenile whiteleg Shrimp,<i>Litopenaeus vannamei</i>",2015,46,Aquaculture Research,https://doi.org/10.1111/are.12772
Litopenaeus vannamei juvenile dietary protein requirement,"Dietary lysine requirement of juvenile Pacific white shrimp, Litopenaeus vannamei",2012,119,Aquaculture,https://doi.org/10.1016/j.aquaculture.2012.06.027
Litopenaeus vannamei juvenile dietary protein requirement,"Dietary arginine requirement of juvenile Pacific white shrimp, Litopenaeus vannamei",2012,96,Aquaculture,https://doi.org/10.1016/j.aquaculture.2012.08.020
Litopenaeus vannamei juvenile dietary protein requirement,"Dietary threonine requirements of juvenile Pacific white shrimp, Litopenaeus vannamei",2013,88,Aquaculture,https://doi.org/10.1016/j.aquaculture.2013.01.026
Litopenaeus vannamei juvenile dietary protein requirement,Evaluation of black soldier fly (Hermetia illucens) larvae meal as partial or total replacement of marine fish meal in practical diets for Pacific white shrimp (Litopenaeus vannamei),2017,257,Aquaculture,https://doi.org/10.1016/j.aquaculture.2017.02.022
Litopenaeus vannamei juvenile dietary protein requirement,"Protein requirement for maintenance and maximum weight gain for the Pacific white shrimp, Litopenaeus vannamei",2002,175,Aquaculture,https://doi.org/10.1016/s0044-8486(01)00649-4
Litopenaeus vannamei juvenile dietary protein requirement,"Substitution of fish meal with plant protein sources and energy budget for white shrimp Litopenaeus vannamei (Boone, 1931)",2009,177,Aquaculture,https://doi.org/10.1016/j.aquaculture.2009.01.001
Litopenaeus vannamei juvenile dietary protein requirement,Dietary magnesium requirement and physiological responses of marine shrimp Litopenaeus vannamei reared in low salinity water,2005,64,Aquaculture Nutrition,https://doi.org/10.1111/j.1365-2095.2005.00364.x
Litopenaeus vannamei juvenile dietary protein requirement,"Effect of dietary protein and energy levels on growth, oxygen consumption, haemolymph and digestive gland carbohydrates, nitrogen excretion and osmotic pressure of Litopenaeus vannamei (Boone) and L. setiferus (Linne) juveniles (Crustacea, Decapoda; Penae",2001,83,Aquaculture Research,https://doi.org/10.1046/j.1365-2109.2001.00573.x
Litopenaeus vannamei juvenile dietary protein requirement,"Quantitative dietary threonine requirement of juvenile Pacific white shrimp,<i>Litopenaeus vannamei</i>(Boone) reared in low-salinity water",2009,41,Aquaculture Research,https://doi.org/10.1111/j.1365-2109.2009.02181.x
